experiment,domain,examples,Recall@1,NDCG@1,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,Recall@50,NDCG@50
SharedBottom,Beauty,20000,0.05915,0.05915,0.19505,0.12756685269323204,0.29525,0.15971862675868337,0.44685,0.19771377370891688,0.8078,0.26890430029004253
SharedBottom,Electronic,20000,0.05325,0.05325,0.19275,0.12301344921171915,0.31475,0.16209906275328576,0.5032,0.20941797541326787,0.8237,0.2730960204552465
SharedBottom,Phone,20000,0.02385,0.02385,0.1331,0.07674174263476631,0.26215,0.1181088174854316,0.4975,0.17695924780529754,0.86835,0.2510083419038504
ADL K=1,Beauty,20000,0.0549,0.0549,0.2044,0.1300852750660911,0.31765,0.1663671837627926,0.4817,0.20759757165270135,0.80165,0.2707786402058929
ADL K=1,Electronic,20000,0.05435,0.05435,0.2033,0.12860743025011653,0.33275,0.17008645769677255,0.51995,0.21724840387476793,0.82605,0.27810183043382064
ADL K=1,Phone,20000,0.02365,0.02365,0.13425,0.0776650333757228,0.26715,0.12020369475206756,0.4972,0.1779218067681559,0.8474,0.24765189632118148
ADL K=3,Beauty,20000,0.0486,0.0486,0.1863,0.11771628602156052,0.29195,0.15170190406611045,0.4564,0.19293747523034205,0.82245,0.2651802005202972
ADL K=3,Electronic,20000,0.04345,0.04345,0.174,0.10814087473307811,0.2965,0.1474332681174353,0.4823,0.19403334229309221,0.8133,0.25972413831612634
ADL K=3,Phone,20000,0.0207,0.0207,0.1062,0.06191321093348506,0.22225,0.09884645860596654,0.46065,0.15851216843782104,0.8491,0.23592777185471833
ADL K=5,Beauty,20000,0.0475,0.0475,0.1801,0.11362932538091214,0.27985,0.14567598662635273,0.4247,0.18210691916417945,0.7941,0.25451911709624103
ADL K=5,Electronic,20000,0.04965,0.04965,0.18955,0.11955153173187148,0.3124,0.15903725023987678,0.49995,0.20616542325045556,0.81725,0.2692838744511508
ADL K=5,Phone,20000,0.02475,0.02475,0.12565,0.07368173537408161,0.2483,0.11285071756927766,0.47615,0.1700285657880372,0.85485,0.24561563632106387
ADL K=7,Beauty,20000,0.0514,0.0514,0.18125,0.11690467444518625,0.28045,0.14879391825077304,0.4187,0.18337306824168137,0.77565,0.2532399089548756
ADL K=7,Electronic,20000,0.04925,0.04925,0.1774,0.11304677881919777,0.29645,0.15123537744617715,0.4821,0.1978076636232549,0.81755,0.2644669038416089
ADL K=7,Phone,20000,0.0227,0.0227,0.11655,0.06847859987243529,0.2298,0.1046502178559334,0.44445,0.1582997058283517,0.85235,0.2395868557597591
ADL K=9,Beauty,20000,0.05405,0.05405,0.18885,0.12163297531885123,0.29005,0.15419079422479529,0.4305,0.18948500791249834,0.7583,0.2536114147931616
ADL K=9,Electronic,20000,0.0507,0.0507,0.19455,0.12252911620752648,0.3168,0.16177616041916518,0.5056,0.20911081440103985,0.82605,0.27275106651810876
ADL K=9,Phone,20000,0.0243,0.0243,0.11975,0.07118173969783874,0.2431,0.11049010814992205,0.47245,0.16805949233867495,0.8496,0.2434464995015815
ADL without Qwen,Beauty,20000,0.0249,0.0249,0.0931,0.05890305503342297,0.1516,0.07772927152942521,0.24905,0.10213024577590539,0.79395,0.2083089556613135
ADL without Qwen,Electronic,20000,0.02305,0.02305,0.0963,0.05941141713854968,0.1575,0.07906153539787678,0.28565,0.11086483827297201,0.75515,0.20450211920355027
ADL without Qwen,Phone,20000,0.0118,0.0118,0.0511,0.03134135739552044,0.09105,0.04412840336563298,0.21965,0.07558835957744459,0.8509,0.20232772903168275
ADL without cross-domain history,Beauty,20000,0.05405,0.05405,0.18805,0.12137976434574459,0.29,0.1542202378234159,0.43515,0.190626351311326,0.79345,0.26085870205345935
ADL without cross-domain history,Electronic,20000,0.0452,0.0452,0.17545,0.11033148859303171,0.29925,0.1500319207815006,0.4829,0.19618738447229675,0.80805,0.2607878782600802
ADL without cross-domain history,Phone,20000,0.0232,0.0232,0.11905,0.06956320659824786,0.24635,0.11014809367570827,0.47475,0.16743794729097627,0.8383,0.2399958556766504
ADL router with domain,Beauty,20000,0.0512,0.0512,0.19255,0.12194060682154022,0.3039,0.15779126564898677,0.4635,0.19781961185525515,0.82365,0.2690290373315359
ADL router with domain,Electronic,20000,0.05025,0.05025,0.18385,0.1166735661229877,0.3083,0.1565239043635775,0.50155,0.20504424475907226,0.81955,0.2683620823673611
ADL router with domain,Phone,20000,0.02455,0.02455,0.11805,0.06997872241648241,0.2469,0.11102869990427877,0.4763,0.16855822954832148,0.86265,0.2456723112501063
