experiment,domain,examples,Recall@1,NDCG@1,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,Recall@50,NDCG@50
SharedBottom,Electronic,20000,0.06625,0.06625,0.22635,0.1468396276754514,0.35535,0.18818933478464925,0.54555,0.23605188620065082,0.8486,0.29640162007297055
SharedBottom,Phone,20000,0.03095,0.03095,0.14375,0.0858180976000449,0.2878,0.13175558068422208,0.5156,0.18912395027744067,0.86465,0.25871280263911306
ADL K=1,Electronic,20000,0.0571,0.0571,0.2136,0.1355207722207622,0.33605,0.17476200213864043,0.5235,0.22191312089324,0.8329,0.28348693679974385
ADL K=1,Phone,20000,0.03015,0.03015,0.14285,0.08525757560547677,0.27825,0.12856836500713126,0.5023,0.18485560231983417,0.8503,0.25437970111646374
ADL K=3,Electronic,20000,0.0592,0.0592,0.2152,0.1374731959978716,0.34935,0.1805295010466646,0.53685,0.22772582466100016,0.8329,0.2865144479525594
ADL K=3,Phone,20000,0.0324,0.0324,0.16235,0.09588894106464337,0.31665,0.14535658061217605,0.53605,0.20052302616902917,0.8584,0.26473394341855305
ADL K=5,Electronic,20000,0.04745,0.04745,0.18705,0.11664333683413736,0.317,0.15836411507387108,0.5132,0.2076882421528325,0.8247,0.26966063309728416
ADL K=5,Phone,20000,0.02505,0.02505,0.1357,0.07830941869673348,0.28295,0.12520666307901615,0.51605,0.18372489899579683,0.85765,0.251905633098761
ADL K=7,Electronic,20000,0.05025,0.05025,0.19655,0.12342304498219486,0.3202,0.16304632439753938,0.5055,0.20964753265249336,0.81705,0.27153862474620255
ADL K=7,Phone,20000,0.0284,0.0284,0.14455,0.08504534816238042,0.2825,0.12917614878342368,0.49285,0.18204642516193623,0.8385,0.2509311594539996
ADL K=9,Electronic,20000,0.0496,0.0496,0.1979,0.12347816267759508,0.3294,0.16568987664007356,0.52105,0.21392442810803663,0.8252,0.27437499794198156
ADL K=9,Phone,20000,0.03775,0.03775,0.17955,0.10759868179293527,0.32495,0.1541816661924888,0.53585,0.2072289931385943,0.858,0.2713927926982912
ADL without Qwen,Electronic,20000,0.02235,0.02235,0.09535,0.058176407895835315,0.1666,0.08104721388653122,0.28195,0.10985945637268282,0.7511,0.2017606707290964
ADL without Qwen,Phone,20000,0.01085,0.01085,0.04755,0.02865585011158556,0.0854,0.04073300759633174,0.17355,0.06270746515670056,0.7796,0.17818220163409543
ADL without cross-domain history,Electronic,20000,0.04545,0.04545,0.1778,0.11094302993365796,0.3066,0.15226645411132603,0.49995,0.20082623471081812,0.81845,0.2641535796397922
ADL without cross-domain history,Phone,20000,0.02295,0.02295,0.12025,0.06997741988371729,0.2521,0.11202136921311201,0.48155,0.169569151678543,0.8411,0.24117594583856494
ADL router with domain,Electronic,20000,0.0601,0.0601,0.2178,0.13922062576106817,0.35525,0.1833013535005971,0.53815,0.2293131109526617,0.8353,0.28839972261165764
ADL router with domain,Phone,20000,0.03165,0.03165,0.1503,0.08950704870441414,0.2856,0.13267789321293097,0.50735,0.18850325669380424,0.8488,0.2566538876464409
